"ID";"ITEM";"FORMA";"COMPETENCIA";"ESTRUCTURA";"FUNCION";"DIFICULTAD_TCT";"BANCO_WEBEXAM"
1;"COMGC112";"01";"COMUNICATIVA";"2.1.1";"OPERATIVO";12,00;"COM01"
2;"COMPS122";"01";"COMUNICATIVA";"2.1.1";"OPERATIVO";17,00;"COM01"
3;"COMBM142";"01";"COMUNICATIVA";"1.2.1";"OPERATIVO";19,00;"COM01"
4;"MATBJ036";"01";"MATEMATICA";"1.1.3";"PILOTO";20,00;"MAT01"
5;"MATVP015";"01";"MATEMATICA";"1.1.1";"PILOTO";22,00;"MAT01"
6;"MATVP016";"01";"MATEMATICA";"1.1.1";"PILOTO";24,00;"MAT01"
7;"MATBJ035";"01";"MATEMATICA";"3.1.1";"PILOTO";25,00;"MAT01"
8;"MATCL046";"01";"MATEMATICA";"3.2.1";"PILOTO";26,00;"MAT01"
9;"COMGC110";"01";"COMUNICATIVA";"4.1.2";"OPERATIVO";27,00;"COM01"
10;"MATCL048";"01";"MATEMATICA";"2.1.1";"OPERATIVO";27,00;"MAT01"
11;"MATCH023";"01";"MATEMATICA";"3.1.1";"PILOTO";27,00;"MAT01"
12;"MATCH025";"01";"MATEMATICA";"2.1.1";"OPERATIVO";28,00;"MAT01"
13;"MATRJ011";"01";"MATEMATICA";"3.2.1";"OPERATIVO";28,00;"MAT01"
14;"CIEMC078";"01";"CIENTIFICA";"2.3.1";"OPERATIVO";29,00;"CIE01"
15;"CIEAP133";"01";"CIENTIFICA";"2.4.1";"OPERATIVO";32,00;"CIE01"
16;"CIELM118";"01";"CIENTIFICA";"2.3.3";"OPERATIVO";32,00;"CIE01"
17;"MATCH020";"01";"MATEMATICA";"1.2.1";"OPERATIVO";32,00;"MAT01"
18;"MATBJ032";"01";"MATEMATICA";"1.2.1";"OPERATIVO";33,00;"MAT01"
19;"MATBJ037";"01";"MATEMATICA";"1.1.3";"OPERATIVO";33,00;"MAT01"
20;"MATRJ008";"01";"MATEMATICA";"1.1.2";"OPERATIVO";35,00;"MAT01"
21;"MATYJ043";"01";"MATEMATICA";"2.2.1";"OPERATIVO";35,00;"MAT01"
22;"COMBR160";"01";"COMUNICATIVA";"1.2.2";"OPERATIVO";36,00;"COM01"
